"brain_model","epi_model","b","ci.lb","ci.ub"
"Centile2","AdaptAge",-0.0030197326136537,-0.0271636781759509,0.0211242129486435
"DBN","AdaptAge",-0.00486692100440764,-0.063010190416047,0.0532763484072318
"DevBrainAge","AdaptAge",-0.0218971896791758,-0.0593227495439298,0.0155283701855782
"DunedinPACNI","AdaptAge",0.00857515789883623,-0.0130231026638387,0.0301734184615111
"ENIGMA","AdaptAge",0.0222064589943596,-0.00103104628736528,0.0454439642760846
"Kaufmann","AdaptAge",-0.0204427858266964,-0.0583476487488821,0.0174620770954893
"PyBrainAge","AdaptAge",0.0124973870062096,-0.011256969995362,0.0362517440077811
"Pyment","AdaptAge",0.0225559076452191,-0.0031200184418155,0.0482318337322538
"Centile2","AltumAge",0.006373107396447,-0.0194461881639736,0.0321924029568676
"DBN","AltumAge",0.0515309513468031,-0.00652263739804809,0.109584540091654
"DevBrainAge","AltumAge",0.0147364756012893,-0.0199513583546611,0.0494243095572397
"DunedinPACNI","AltumAge",-0.00275429828403239,-0.0239737535656303,0.0184651569975655
"ENIGMA","AltumAge",0.022266934863224,-0.00154519670575968,0.0460790664322076
"Kaufmann","AltumAge",0.0453725653421147,0.00620748986278685,0.0845376408214425
"PyBrainAge","AltumAge",0.0316669739165157,0.00810891808527915,0.0552250297477523
"Pyment","AltumAge",0.0437707024244785,0.0178693277259864,0.0696720771229706
"Centile2","cAge",0.000609001578951026,-0.023111580189029,0.024329583346931
"DBN","cAge",0.00610635151513184,-0.055366963746619,0.0675796667768827
"DevBrainAge","cAge",0.0620933034973583,0.0245755090044643,0.0996110979902523
"DunedinPACNI","cAge",-0.0102014151006007,-0.0311841380896844,0.0107813078884829
"ENIGMA","cAge",-0.000567747356631849,-0.0241900063380141,0.0230545116247504
"Kaufmann","cAge",0.0468574008973678,0.00878850246006969,0.084926299334666
"PyBrainAge","cAge",0.0251328274589509,0.00129806793667084,0.048967586981231
"Pyment","cAge",0.0227861175464887,-0.00242830331616935,0.0480005384091468
"Centile2","CorticalClock",0.00713644218318883,-0.0215397506379306,0.0358126350043083
"DBN","CorticalClock",-0.00150457693728988,-0.0591450219822585,0.0561358681076787
"DevBrainAge","CorticalClock",0.0480390262575148,0.0118463825655513,0.0842316699494784
"DunedinPACNI","CorticalClock",0.0139552055125725,-0.00758715365831897,0.035497564683464
"ENIGMA","CorticalClock",0.0200890015109212,-0.00336578233885372,0.043543785360696
"Kaufmann","CorticalClock",0.0508781643571188,0.0113156163465752,0.0904407123676624
"PyBrainAge","CorticalClock",0.0155894049116653,-0.0075703877491655,0.0387491975724961
"Pyment","CorticalClock",0.0244995855676329,-0.000494573730680344,0.0494937448659461
"Centile2","DamAge",0.0119173077067078,-0.0132215686632399,0.0370561840766554
"DBN","DamAge",0.0406544055882316,-0.0153339809556591,0.0966427921321224
"DevBrainAge","DamAge",0.0386222103860796,0.00123331096187757,0.0760111098102816
"DunedinPACNI","DamAge",0.0123848632411214,-0.00962082170532555,0.0343905481875684
"ENIGMA","DamAge",0.00134736781468455,-0.0220433671722975,0.0247381028016666
"Kaufmann","DamAge",0.0158258733942622,-0.0212523872152312,0.0529041340037556
"PyBrainAge","DamAge",0.014859173538406,-0.00864859802157498,0.0383669450983869
"Pyment","DamAge",-0.00415037237618132,-0.0294451353903776,0.0211443906380149
"Centile2","DNAmTL",-0.060166450783545,-0.121009792468003,0.000676890900913149
