cohort,timepoint,modality,total n,sex,age at MRI,age at DNAm,tissue,array
ALSPAC,15up_450k,brain,802,249 (31%),20.29 (1.39),NA,NA,NA
ALSPAC,15up_450k,epi,950,491 (51.7%),NA,17.11 (1.05),blood,450k
ALSPAC,15up_450k,overlap_brain_epi,172,46 (26.7%),20.06 (1.36),17.34 (0.83),blood,450k
ALSPAC,15up_epic,brain,802,249 (31%),20.29 (1.39),NA,NA,NA
ALSPAC,15up_epic,epi,1841,967 (52.5%),NA,17.79 (0.44),blood,EPIC
ALSPAC,15up_epic,overlap_brain_epi,305,75 (24.6%),20.20 (1.43),17.71 (0.37),blood,EPIC
ALSPAC,cord,epi,891,456 (51.2%),NA,-0.01 (0.03),cord blood,450k
ALSPAC,F7,epi,961,485 (50.5%),NA,7.45 (0.15),blood,450k
BHRC,T0,brain,739,317 (42.9%),9.93 (1.85),NA,NA,NA
BHRC,T0,epi,366,150 (41.0%),NA,9.86 (1.79),blood,EPICv2
BHRC,T0,overlap_brain_epi,366,150 (41.0%),9.86 (1.79),9.86 (1.79),blood,EPICv2
BHRC,T1,brain,464,195 (42%),13.04 (1.81),NA,NA,NA
BHRC,T1,epi,145,55 (37.9%),NA,12.86 (1.69),blood,EPICv2
BHRC,T1,overlap_brain_epi,145,55 (37.9%),12.86 (1.69),12.86 (1.69),blood,EPICv2
BHRC,T2,brain,406,178 (43.8%),17.60 (1.85),NA,NA,NA
BHRC,T2,epi,319,133 (41.7%),NA,17.48 (1.80),blood,EPICv2
BHRC,T2,overlap_brain_epi,315,133 (42.2%),17.48 (1.80),17.48 (1.80),blood,EPICv2
CannTeen,TP1,brain,61,30 (49.2%),17.17 (0.49),NA,NA,NA
CannTeen,TP1,epi,125,59 (47.2%),NA,17.21 (0.48),saliva,EPICv1
CannTeen,TP1,overlap_brain_epi,61,30 (49.2%),17.17 (0.49),17.15 (0.49),saliva,EPICv1
CannTeen,TP2,brain,49,23 (46.9%),18.30 (0.58),NA,NA,NA
DCHS,age6,brain,122,55 (45.1%),6.29 (0.40),NA,NA,NA
DCHS,age6,epi,122,55 (45.1%),NA,5.14 (0.08),blood,EPICv2
DCHS,age6,overlap_brain_epi,122,55 (45.1%),6.29 (0.40),5.14 (0.08),blood,EPICv2
FinnBrain,5y,brain,172,78 (45.3%),5.40 (0.13),NA,NA,NA
GenR,age10_450k,brain,3199,1608 (50.3%),10.13 (0.59),NA,NA,NA
GenR,age10_450k,epi,446,225 (50.4%),NA,9.77 (0.26),blood,450k
GenR,age10_450k,overlap_brain_epi,358,179 (50%),10.14 (0.57),9.78 (0.26),blood,450k
GenR,age10_epic,brain,3199,1608 (50.3%),10.13 (0.59),NA,NA,NA
GenR,age10_epic,epi,768,404 (52.6%),NA,9.77 (0.32),blood,EPICv2
GenR,age10_epic,overlap_brain_epi,408,216 (52.9%),10.13 (0.60),9.78 (0.30),blood,EPICv2
GenR,age14_epic,brain,2190,1176 (53.7%),14.03 (0.63),NA,NA,NA
GenR,age14_epic,epi,1192,606 (50.8%),NA,13.59 (0.31),blood,EPICv2
GenR,age14_epic,overlap_brain_epi,591,305 (51.6%),14.01 (0.61),13.59 (0.33),blood,EPICv2
GenR,age18_epic,brain,2349,1206 (51.3%),18.64 (0.74),NA,NA,NA
GenR,age18_epic,epi,947,502 (53%),NA,18.39 (0.54),blood,EPICv2
GenR,age18_epic,overlap_brain_epi,681,339 (49.8%),18.64 (0.69),18.37 (0.54),blood,EPICv2
GenR,age6_450k,brain,921,440 (47.8%),7.96 (0.99),NA,NA,NA
GenR,age6_450k,epi,471,247 (52.4%),NA,6.04 (0.38),blood,450k
GenR,age6_450k,overlap_brain_epi,96,53 (55.2%),7.97 (0.88),6.02 (0.34),blood,450k
GenR,age6_epic,brain,921,440 (47.8%),7.96 (0.99),NA,NA,NA
GenR,age6_epic,epi,682,343 (50.3%),NA,6.14 (0.47),blood,EPICv2
