"model","wMAE","ci.lb","ci.ub"
"AdaptAge",14.4213020324509,7.14576563350825,29.1045022993663
"AltumAge",1.97762560914898,0.979839183209871,3.99147443476363
"Bohlin",0.026944078639242,0.013243378001303,0.0548185948967271
"cAge",1.87280242393211,0.927929207566006,3.77980226345715
"CorticalClock",9.17815276434992,4.54786819168662,18.5226318387436
"DamAge",27.3423890842576,13.5484943131421,55.1800239610203
"EPIC",0.333415248671495,0.163316990924464,0.680674603526649
"Hannum",4.44183586758347,2.20079578650751,8.96489624140038
"Horvath2013",1.63308970001551,0.809088942341203,3.29627786109584
"Knight",0.0527165096835224,0.0259227605842575,0.107204261065489
"PCBrainAge",6.52766957646706,3.23443268424625,13.1740166697776
"PCGrimAge",11.5315499478983,5.71407662237463,23.2717642742443
"PedBE",1.65427613619808,0.819622026988068,3.33889212915734
"PhenoAge",5.12632817798265,2.5398601509927,10.34672738895
"skinHorvath",1.8458197381561,0.914581908864683,3.72525464667894
"Wu",2.53139110085779,1.25426836106321,5.10890739528037
"ZhangBLUP",2.65701614017295,1.31647872258573,5.36258934384699
"ZhangEN",3.26196762971495,1.61624760451813,6.58341753303355
