"term","estimate","se","ci.lb","ci.ub","pval"
"modelAdaptAge",2.74566706780701,0.220967277592008,2.31257916196481,3.17875497364921,1.8962459083335e-35
"modelAltumAge",0.616425203628441,0.22103676546858,0.183201104050798,1.04964930320608,0.0052905296830199
"modelcAge",0.75120120792154,0.221001403904411,0.318046415736106,1.18435600010698,0.000676132094155769
"modelCorticalClock",2.32951737412722,0.220949885836227,1.89646355549997,2.76257119275446,5.46123522758757e-26
"modelDamAge",3.29355141392171,0.220947178514096,2.86050290154834,3.72659992629508,2.98974558052754e-50
"modelHannum",1.58196824098084,0.221025145585358,1.14876691595582,2.01516956600587,8.22137570876281e-13
"modelHorvath2013",0.307390170034424,0.221097405180044,-0.125952781193721,0.74073312126257,0.164439929083198
"modelPCBrainAge",2.04031804047486,0.220971059734619,1.60722272176936,2.47341335918037,2.62132122871694e-20
"modelPCGrimAge",2.47441867932647,0.220937465596225,2.04138920392231,2.90744815473063,4.09422969853863e-29
"modelPedBE",-0.0123110924557783,0.221114916032859,-0.44568836432478,0.421066179413223,0.955598844000557
"modelPhenoAge",1.74333941320658,0.221042783989891,1.31010351754393,2.17657530886924,3.09818225639705e-15
"modelskinHorvath",0.328269498447438,0.221025218006327,-0.104931968520076,0.761470965414952,0.137487443726819
"modelWu",0.818348225561488,0.221015556485844,0.385165694826157,1.25153075629682,0.000213340198100288
"modelZhangBLUP",0.998929926334076,0.221034081832364,0.565711086586764,1.43214876608139,6.20303753770516e-06
"modelZhangEN",1.28399301460365,0.221017404214071,0.85080686238754,1.71717916681976,6.26725562876562e-09
"modelAdaptAge:mean_age_c",-0.157344401717351,0.0195988849454224,-0.195757510347523,-0.118931293087178,9.8887084167758e-16
"modelAltumAge:mean_age_c",-0.0861819655533819,0.0196225328866588,-0.124641423296686,-0.0477225078100779,1.1231793647927e-05
"modelcAge:mean_age_c",-0.194396750929015,0.0196164418724899,-0.232844270503919,-0.155949231354112,3.77066896180616e-23
"modelCorticalClock:mean_age_c",-0.173055727631474,0.0195922128992655,-0.211455759291476,-0.134655695971473,1.02011552875499e-18
"modelDamAge:mean_age_c",-0.112464345577385,0.0195901379778143,-0.150860310466072,-0.0740683806886991,9.41939309938136e-09
"modelHannum:mean_age_c",-0.164749729642623,0.0196193789721357,-0.203203005827051,-0.126296453458194,4.5687790393667e-17
"modelHorvath2013:mean_age_c",-0.040819061163492,0.0196302775015307,-0.0792936980730191,-0.00234442425396481,0.0375812455324742
"modelPCBrainAge:mean_age_c",-0.212596120412642,0.0196065260932585,-0.251024205417374,-0.174168035407911,2.14986196308291e-27
"modelPCGrimAge:mean_age_c",-0.132761180611214,0.0195866671422526,-0.171150342787203,-0.094372018435225,1.21732492511403e-11
"modelPedBE:mean_age_c",0.0273801366544281,0.0196282032011423,-0.0110904347010446,0.0658507080099008,0.163034381004633
"modelPhenoAge:mean_age_c",-0.182000610563831,0.0196294181006877,-0.220473563078658,-0.143527658049005,1.82980618398144e-20
"modelskinHorvath:mean_age_c",-0.0262324365265113,0.0196154030925187,-0.0646779201300835,0.0122130470770609,0.181112123066815
"modelWu:mean_age_c",-0.0821154991991021,0.0196087417595482,-0.120547926829963,-0.0436830715682412,2.81797478130392e-05
"modelZhangBLUP:mean_age_c",-0.129552771448314,0.0196162504163003,-0.167999915775981,-0.0911056271206463,3.99239410206908e-11
"modelZhangEN:mean_age_c",-0.161510519000133,0.0196111179629271,-0.199947603904036,-0.123073434096229,1.78568950205922e-16
